Question,Reply
نتيجة لحادث، فقد عبدول البصر في عينه اليمنى. لتقدير مسافة المركبات عند قيادته، يمكن لعبدول الاعتماد على مؤشرات,1 و2 فقط
اقترحت بعض الدراسات في مختلف الثقافات أن ستة تعبيرات في الوجه يتم التعرف عليها من قبل أشخاص من كل ثقافة تقريباً. أي مما يلي يوجز هذه التعبيرات بشكل صحيح؟,السعادة والحزن والخوف والغضب والمفاجأة والنفور
يتكون جذع الدماغ من,الدماغ الخلفي والدماغ الأوسط.
يمكن للفنان الذي برسم باستخدام قلم الرصاص أن يستخدم أي من التقنيات التالية لإضافة عمق إلى رسمه؟,المنظور الخطي
تعتمد قدرة الموسيقي على التمييز بين عرضين متشابهين للغاية على أي من المفاهيم التالية؟,عتبة الاختلاف
عندما تعود أنطوانيت إلى شقتها، يقفز الناس فجأةً نحوها. تبدأ ضريات قلبها في التسارع وتصرخ. بمجرد أن تعرف أنهم أصدقاؤها الذين ينظمون حفلة مفاجأة لها، وليسوا من النينجا، يستمر تسارع ضربات قلبها ولكنها تشعر بالسعادة. أي نظرية عاطفية تفسر هذه الحقيقة بشكل أفضل؟,نظرية شاشتر سينجر
تُعرف دراسة بعض الموضوعات بعمقٍ كبير للتحقيق في حالة نادرة باسم,دراسة حالة
ما هي نظرية العاطفة التي من المرجح أن يدعمها علماء النفس المعرفي؟,نظرية العامل المزدوج
المخدرات مؤثرة لأنها مشابهة جداً من الناحية الكيميائية لـ,الاندورفين
أي مما يلي يساهم بشكل مباشر في تصورات الناس المبالغ فيها لاحتمال وقوع كوارث سفر جوي وحوادث طاقة نووية وعنف إرهابي؟,الاستدلال التكراري
يدعي علماء الإدراك أن التكيف الكلاسيكي ينتج عن,توقع ما سيأتي بعد التحفيز المشروط
تشتبه الطبيبة أن منطقة معالجة اللغة لدى مريضها موجودة في الفص الأيمن. يُرجح أن يتم التحقق من ذلك من خلال استخدام,التصوير المقطعي بالإصدار البوزيتروني
يتم تحويل الطاقة الميكانيكية إلى طاقة كهروكيميائية بواسطة,مستقبلات الضغط
جمع ديفيد بيانات عن 15 مشاركاً في البحث. فكانت درجاتهم: 42، 38، 14، 13، 12، 12، 11، 11، 11، 10، 10، 10، 9، 9، 9. أي من الإحصاءات التالية تعكس بأفضل وجه المنحى المركزي لمجموعة البيانات هذه؟,العدد المتوسط
أصغر وحدات المعنى في اللغة هي,الأصوات الصرفية
بعد أن يطلق عصبون شحنته,يحدث جهد عمل
تسمى القواعد التي تحكم وضع الكلمات والعبارات في الجملة,النحو
أي جدول تعزيز تتبعه سوليداد التي ترد على كل رسالة بريد إلكتروني يرسلها صديقها؟,مستمر
العجز المكتسب هو مثال على قوة,التوقع
بعد أن قررت سوزي الذهاب إلى الحفلة الراقصة مع ديلان، كان ماكس غاضباً بلا وعي. ثم وجه ماكس كل طاقاته إلى عمله الفني. ما هي آلية الدفاع التي يستخدمها ماكس؟,تسامي
يُنظر إلى دراسات كوهلر على القردة على أنها توضح,أن التعلم يمكن أن يحدث عن طريق البصيرة.
يمكن للفنان الذي برسم باستخدام قلم الرصاص أن يستخدم أي من التقنيات التالية لإضافة عمق إلى رسمه؟,المنظور الخطي
دور الأذن الخارجية هو,جمع الأصوات وتركيزها من الهواء
ما الذي سيختبره بياجيه لتحديد ما إذا كان الطفل في مرحلة ما قبل إجراء العمليات أو مرحلة العمليات الملموسة للتطور المعرفي؟,مفاهيم الحفظ
أثناء القيادة إلى المدرسة، تسمع إليز عن هدية تذكرة الحفل على الراديو. يجب أن تكون سابع متصل يفوز. أثناء التوقف حتى تتمكن من الاتصال، تكرر الرقم لنفسها عدة مرات. كانت إليز تستخدم أي مما يلي لتذكُّر رقم الهاتف؟,التكرار الحفظي
أي من بُنى الدماغ التالية يشارك بشكلٍ مركزي في تحفيز الجوع؟,الهايبوثالامس
أُعطيت أربع قوائم من الكلمات لتتعلمها: 1 و2 و3 و 4. يجب عليك تعلم القائمة 1، ثم القائمة 2، وهكذا. أي قائمة (أو قوائم) ستؤدي إلى تدخل استباقي في تذكر القائمة 2؟,القائمة 1 فقط
تساعد فرضية ورف للنسبية اللغوية في تفسير سبب,أن الإسكيمو لديهم العديد من الكلمات المتعلقة بالثلج
تعتبر القنوات نصف الدائرية للأذن الداخلية مهمةً لمساعدة الشخص على الحفاظ على,التوازن
أشارت دراسة شريف في كهف اللصوص إلى أي مما يلي كأفضل مبدأ للمساعدة في الحد من التوترات بين الجماعات؟,الأهداف الفائقة
يعد منع الطفل من الخروج لمدة أسبوعين بعد إساءة تصرف الطفل مثالاً على,العقاب السلبي
بعد مشاهدة الرسوم المتحركة التي تضرب فيها الشخصيات ويلكمون ويركلون شخصياتٍ أخرى، ينخرط طلاب رياض الأطفال في سلوكٍ أكثر عدوانية مما لو كانوا قد شاهدوا برنامج بارني. هذه الملاحظة تدعم بشكلٍ أفضل,نظرية التعلم الاجتماعي
أثناء التعلم التعاوني، عارض جميع الطلاب في المجموعة آ في البداية عقوبة الإعدام، في حين عارض اثنان من الطلاب في المجموعة ب عقوبة الإعدام وأيدها طالبان آخران. وفقاً للبحث، بعد مناقشةٍ مكثفة داخل كل مجموعة حول عقوبة الإعدام، نتوقع أن,يصبح رأي أعضاء المجموعة آ أكثر رسوخاً، أما أعضاء المجموعة ب فسيخففون من حدة موقفهم
تنجم أعراض الانسحاب بشكلٍ مباشر عن أي من العمليات التالية؟,التسامح
اليوم، تناولت سوزان حبة حساسية رفعت ضغط دمها، وتسببت في نبض قلبها بشكل أسرع، ورفعت درجة حرارة جسمها. وهي الآن عالقة في حركة المرور، تشعر بالغضب. بالأمس، عندما تناولت حبوب منع الحمل، كانت مع زوجها. عندما ارتفع ضغط دمها، تسارعت ضربات قلبها، وأصبحت أكثر سخونة، وشعرت بالعاطفة. هذا الوصف يجسد,نظرية العامل المزدوج
يطور الأطفال أنظمةً تمثيليةً داخلية تسمح لهم بوصف الأشخاص والأحداث والمشاعر شفهياً خلال أي مراحل من التطور المعرفي لبياجيه؟,ما قبل التمكن من تنفيذ العمليات
تقول شانتال إن والدتها مستبدة ومتعجرفة. يتفق جميع أصدقاء شانتال على أنها هي من تتمتع بهذه الخصائص، وليس والدتها. قد يقترح فرويد أن سلوك شانتال يجسد أي من آليات الدفاع التالية؟,إسقاط
أي من المصطلحات التالية يصف المكون السلوكي للمواقف السلبية تجاه مجموعات معينة؟,التمييز
يبدأ التحفيز المحايد الذي يشير إلى حافز غير مشروط في توليد استجابة تتوقع التحفيز غير المشروط وتستعد له أثناء,محاولات الاكتساب
أي مما يلي هو المصطلح المستخدم لوصف عدد من الاضطرابات الذهانية التي تنطوي على اضطرابات في كل بُعد تقريباً من أبعاد علم النفس البشري بما في ذلك الفكر والإدراك والسلوك والتواصل؟,فُصام
من المرجح أن يعاني جرذ من زيادة الوزن الشديدة نتيجة إصابته بآفة في,الهايبوثالامس
يقوم المدرب بيري بتدريب لانا لتكون حارسة مرمى فريق كرة القدم في رياض الأطفال. يبدأ المدرب بيري بدحرجة الكرة إلى لانا ببطء حتى تتمكن من إيقافها؛ ثم يبدأ تدريجياً في دحرجة الكرة بشكلٍ أسرع وإلى أجزاءٍ مختلفة من المرمى، مع الإشادة بمحاولاتها الناجحة. تسمى التقنية التي يستخدمها المدرب بيري,التكوين.
أي جانب من جوانب الصوت يغيره رفع مستوى الصوت على مشغل الموسيقى؟,سعة الموجة
"الغدة التي يشار إليها أحياناً باسم ""الغدة الرئيسية""، والتي تنظم الكثير من عمل الغدد الصماء الأخرى تسمى",الغدة النخامية
أي منظور نفسي كان الأكثر رواجاً في مطلع القرن العشرين في أوروبا الغربية؟,التحليل النفسي
الشكل الأكثر شيوعاً لمتلازمة داون ينتج أثناء تكوين الخلايا الجنسية والتخصيب من,ثلاث نسخ من الكروموسوم 21
أوديت على وشك بلوغ عيد ميلادها السبعين. على مدار العام الماضي، عانت من فقدان الشهية وبدأت تواجه صعوبةً في النوم. كما فقدت الاهتمام بهوايتها المفضلة، البستنة ولعبة البريدج. من المرجح أن يتم تشخيص أوديت بأنها تعاني من,اضطراب الاكتئاب الشديد.
ما هي الأداة الرئيسية المستخدمة في جميع أشكال العلاج النفسي؟,التحدث إلى مريض
في تجربة بافلوف القائمة على التعليم الشرطي للكلاب، تسمى النقطة التي كانت فيها الكلاب تفرز اللعاب عند سماع الصوت دون وجود الطعام,اكتساب
وفقاً لعلماء النفس الإنسانيين، من المرجح أن تكون الاضطرابات النفسية ناجمة عن,الاحتياجات غير الملباة.
"وفقاً لمبادئ تنظيم الإدراك الجشطالتية، فعندما تنظر إلى كتابة ""i n car n a t e""، فإنك تميل إلى ملاحظة كلمة ""car"" بدلاً من in، nate، at، أو ate، وذلك بسبب",المقاربة
ما هو المبدأ النفسي الاجتماعي الذي يفسر التحيز بشكل أفضل؟,التحيز داخل المجموعة
قبل شهرٍ واحد من الامتحانات النهائية، وضع كونراد جدول دراسة وبدأ في مراجعة ملاحظاته. قبل أسبوعين من الامتحانات النهائية، كان كونراد يدرس لساعاتٍ كل يوم للاستعداد. مباشرةً بعد الامتحانات النهائية وفي بداية عطلة الصيف، أصيب كونراد بالإنفلونزا. أي من النظريات التالية تفسر هذا التسلسل من الأحداث بشكلٍ أفضل؟,متلازمة التكيف العام لسيلي
الإندورفين هي مواد كيميائية,ترفع الحالة المزاجية وتقلل الألم
إستخدم المعالج الاختبار البقعي لروشاخ لمساعدته في تحليل مشاكل مريضه. يُرجح أنه كان,محللاً نفسياً
الأشخاص الذين لم يتمكنوا من التوافق مع بعضهم في السابق غالباً ما يكونون قادرين على تجاهل اختلافاتهم في مواجهة أزمةٍ مشتركة. يُشار إلى حاجتهم للعمل معاً في هذه الحالة بـ,الهدف الأعلى
يفترض هرم ابراهام ماسلو للاحتياجات أن كل شخصٍ مدفوعٌ بماذا؟,تلبية الاحتياجات من الخطوة التالية في التسلسل الهرمي
سمعت سانجا صوتاً تعرفه على أنه صوت إغلاق الباب الأمامي. من أجل أن تكتشف الصوت وتعالجه بحيث تعرف ما هو، فإن أذن سانجا توجِّه موجات الصوت إلى الأذن الداخلية من أجل تحفيز أهداب الأذن الداخلية. هذه هي الخطوة الحرجة في عملية,التحويل السمعي
أي مما يلي هو معزز ثانوي؟,المال
أي من أنواع مُنظِّري الشخصية هؤلاء هو الأكثر احتمالاً لاستخدام لاختبار الإسقاط؟,محللاً نفسياً
أنطونيا لديها قطة. في المرة الأولى التي ترى فيها أرنباً، تسميه قطة. خطأها يرجع إلى عملية,المماثلة.
ما هي الجملة الأكثر دقة في وصف كيفية تواصل الخلايا العصبية؟,تنتقل المواد الكيميائية من خلية عصبية إلى أخرى، مما يؤثر على ما إذا كانت الخلايا العصبية ستطلق شحناتها أم لا.
نظرية الثلاثية السلبية لمعتقدات آرون بيك، والتي تشرح دورة الاكتئاب من خلال اختبار الأفكار السلبية عن الذات والعالم، توضح أي نوعٍ من أنواع العلاج؟,الإدراكي
وفقًا لسيغموند فرويد، ما هو العامل المهيمن الذي يحدد سمات شخصيتنا؟,الصراعات اللاواعية
أظهرت مقارنة حديثة لنتائج اختبارات الأمريكيين الآسيويين والأمريكيين الأفارقة في جامعة ستانفورد أن,1 و2 و3 فقط
يُشار إلى الميول العاطفية والمعرفية والسلوكية التي تشكل الأبعاد الشخصية الأساسية التي يختلف من خلالها الأفراد باسم,السمات
شخص لديه تلف في الدماغ ويواجه صعوبةً في إجراء الحركات العضلية اللازمة لإنتاج كلامٍ دقيق قد يكون لديه تلفٌ في أي منطقة من مناطق الدماغ التالية؟,منطقة بروكا
ليندا امرأة واثقة من نفسها وذات إمكانيات وتتحمل مسؤولية أفعالها. تتمتع ليندا بـ,موضع تحكم داخلي
في دراسة عن النوم، لاحظ باحثٌ أن عينَي المشارك بدأت تتحرك كما لو كان يشاهد حدثاً رياضياً. يلاحظ الباحث أن المشارك قد دخل في,نوم حركة العين السريعة
أي من وجهات النظر التالية تهتم أكثر باحترام الذات وتحقيق إمكانات المرء؟,الإنسانية
ما نوع العرَض الشائع بين جميع الاضطرابات الجسدية؟,التعرض لمشكلة جسدية بدون سببٍ جسدي
أي مما يلي كانت تقنيةً مهمة استخدمها إبراهيم ماسلو وعلماء النفس الإنسانيون أثناء العلاج؟,القبول الموجب غير المشروط
الغلاف الميليني الذي يغطي محاور معظم الخلايا العصبية يعمل على أي مما يلي؟,زيادة السرعة التي يمكن بها إرسال الرسائل
"صُممت دراسةٌ لاستقصاء أنماط الصداقة لدى الأطفال الذين تعرضوا للإساءة، وأجريت عن طريق تصوير تفاعلات الأطفال ثم مشاهدة المقاطع من قبل ثلاثة محكمين وتقييم نمط سلوك كل طفل على مقياس سلوك الصراع الذي يتراوح من ""صراع مستمر"" إلى ""صراع بالحد الأدنى"". أي من أنواع الموثوقية التالية هو الأكثر أهمية لهذه الدراسة، بالنظر إلى المنهجية المستخدمة لقياس المتغيرات؟",الموثوقية المتبادلة بين المقيمين
الطلاب الذين تم تشخيص إصابتهم باضطراب نقص الانتباه وفرط النشاط (ADHD) هم أكثر عرضة بأربع إلى تسع مرات لأن يكونوا,من الذكور مقارنةً بالإناث
وفقًا لإريكسون، تتمحور أزمة تطور الشاب البالغ حول,الحميمية في مقابل العزلة
المؤثرات النفسانية هي الأدوية التي تغير الوعي من خلال,تسهيل أو تثبيط الإرسال العصبي في الشبكة العصبية
"هناك ""اختصاران معرفيان"" يمكن أن يؤديا إلى أخطاءٍ في معالجة المعلومات",الوسيلة الاستدلالية للتمثيل والوسيلة الاستدلالية للتوافر
أي مما يلي يصف بشكلٍ أفضل استنتاج دراسة ستانلي ملغرام عن الطاعة؟,عندما يكون هناك شخصية مرجعية، من المرجح أن يطيع الناس الأوامر أكثر من التشكيك في حكمة الأوامر.
أي من الأمثلة التالية هو نتيجة للتدريب الإجرائي؟,يتحدث أشمد بصوتٍ أعلى من المعتاد عندما يتحدث إلى والدته عبر الهاتف لأنها تعاني من ضعف السمع.
أي من الاستراتيجيات التالية توصي بها الرابطة الوطنية لعلماء النفس في المدارس (NASP) كأفضل ممارسة لتحسين السلامة المدرسية؟,إنشاء فريق للسلامة والاستجابة في المدرسة
وفقاً لإليزابيث كوبلر روس، فإن أول رد فعل لشخصٍ يواجه مرضاً عضالاً هو,الإنكار
أي جزء من الدماغ كان يُعتقد أنه يلعب الدور الأكثر أهمية في نظرية كانون بارد في العاطفة؟,المهاد
يدخل جيكوب في نوبات بكاءٍ هستيري في كل مرةٍ تصطحبه والدته إلى ممر الحلوى في السوبر ماركت وترفض أن تشتري له أي شيء. في النهاية، تستسلم والدة جيكوب وتسمح له باختيار نوعٍ واحد من الحلوى لشرائه شريطة أن يتوقف عن البكاء.  سلوك جيكوب في البكاء __________________ من قبل والدته.,يتعزز
تكشف الأبحاث أن العامل الأكثر أهمية في سلوك النوع A المرتبط بأمراض القلب هو,الغضب
أي مما يلي يمثل الترتيب الصحيح للنقل السمعي منذ سماع الصوت إلى وقت معالجته في الدماغ؟,القناة السمعية ← العظيمات ← النافذة البيضاوية ← قوقعة الأذن ← العصب السمعي
أظهرت الأبحاث أن الأشخاص الذين يقرؤون توصيفاً وظيفياً مكتوباً بضمائر الذكور فقط (على سبيل المثال، هو، له) هم أكثر عرضةً للتفكير في الموظف على أنه ذكر من الأشخاص الذين يقرؤون توصيفاً يستخدم لغةً محايدة بين الجنسين (على سبيل المثال، هو أو هي). ترتبط هذه النتيجة ارتباطاً وثيقاً بـ,فرضية النسبية اللغوية.
في وضح النهار، تظهر الأشياء التي تعكس جميع الأطوال الموجية للضوء,الأبيض
أي من الناقلات العصبية التالية يرتبط بشكلٍ أوضح بتجربة المتعة؟,الدوبامين
يتميز المنعكس التجذيري عند حديثي الولادة في,توجيه رؤوسهم نحو المحفزات عند لمس خدودهم
أي مصطلح من مصطلحات التعلم الشرطي الكلاسيكي يصف بشكلٍ أفضلَ السيناريو التالي: في وقتٍ لاحق من تجارب التعلم الشرطي الكلاسيكي التي يجريها، بدأ لعاب كلاب بافلوف يسيل كلما سمعت أي صوتٍ يشبه الجرس، مثل جرس الباب أو قيام شخصٍ ما بالنقر على كأس ماء عن طريق الخطأ.,التعميم
في نهج مبني على الرموز الصوتية للقراءة المبكرة، يتعلم طلاب الصف الأول أصوات الحروف b و a و s و g. وفقاً للنظرية الكامنة وراء هذا النهج، أي مما يلي سيكون الأكثر فعالية كأول جملةٍ يقرأها الطلاب؟,Gail has a bag.
وفقاً لإريكسون، فإن أولئك الذين ينظرون إلى نهاية حياتهم بأسف ويشعرون بأن حياتهم تفتقر إلى الاكتمال، يقدمون دليلاً على عدم القدرة على حل تحدي,النزاهة في مقابل اليأس
عند الولادة، تكون الحاسة المهيمنة لدى البشر هي,السمع.
يدخل الضوء إلى العين من خلال فتحةٍ في,القزحية.
تتم معالجة المعلومات القادمة من العصب البصري في البداية في أي جزءٍ من الدماغ؟,المهاد
طبقاً لنظرية التنشيط والتوليف,تَنتُج الأحلام عن محاولة العقل فهم النشاط العصبي العشوائي من جذع الدماغ
ما الذي يفسر بشكلٍ أفضل سبب بقاء الناس في حالةٍ من اليقظة أو الاستثارة المرتفعة قليلاً بعد حدوث أزمة؟,يستمر مجرى الدم في احتواء مستوياتٍ مرتفعة من الأدرينالين.
وفقاً لكولبيرج، فمن أجل التفكير بمستوى ما بعد التقليدي، يجب على الناس,أن يكونوا قادرين على تقبُّل وجهة نظر شخصٍ آخر.
أي من العبارات التالية صحيحة فيما يتعلق بالتعلم مدى الحياة والتطوير المهني المستمر لعلماء النفس في المدرسة؟,ينبغي وضع خطة رسمية للتطوير المهني وتحديثها سنوياً.
وفقاً لنظرية التعلق، فإن الاستجابة التكيفية لطفلٍ يبلغ من العمر ستة أشهر يعاني من الضيق عند مغادرة شخصية الارتباط تسمى,قلق الانفصال
استشهد شافي بدرجات توني وديفيد الكاملة في اختبار الرياضيات كدليلٍ على تفوق الفتيان في الرياضيات على الفتيات. إن فشله في إدراك أن سبع فتيات في الفصل حصلن على درجاتٍ كاملة بينما لم يحصل سوى صبيّان اثنان على هذه الدرجة يعدُّ أفضل مثالٍ على,تحيز التأكيد
ترتبط اللغة غير المنتظمة مثل وقع الكلمات متشابهة الصوت أو ابتداع كلماتٍ جديدة بـ,الفصام
وفقاً للدكتور ويليام سيرز، الخبير المعروف في مجال الرضّع وتربية الأطفال، يتأثر نمو دماغ الرضيع جزئياً بفتراتٍ أطول وأكثر تواتراً من النوم النشط والحلم أو,نوم حركة العين السريعة
أي مما يلي سيكون أكثر فائدة في فهم تفسير أحد الجيران للأزمة الأخيرة التي تعرضت لها عائلة معينة في أنها كانت بسبب الضائقة المالية الشديدة؟,نظرية الإسناد
كل مما يلي هي خطوة اتخذها المعالج النفسي الذي يستخدم عملية التخلص التدريجي من الحساسية باستثناء,مساعدة العميل على تجربة حالة الاسترخاء المرغوبة من خلال التنويم المغناطيسي
أي مما يلي يُعَبِّر بشكلٍ أفضل عن اكتشاف إيفان بافلوف الذي تم بالصدفة؟,أثناء تجاربه على الكلاب، اكتشف بافلوف أنه بمجرد أن اعتادت كلابه على رؤية وسماع المساعد الذي كان يحضر لهم الطعام في وقت الوجبة، فقد بدأت في إفراز اللعاب استجابةً لرؤية وسماع ذلك المساعد.
من المحتمل أن يكون الأفراد في أي من المهن التالية أقل عرضةً للمشاكل الصحية نتيجةً لتعطل إيقاعات الساعة البيولوجية؟,أستاذ جامعي
تظهر الأجسام التي تمتص الضوء,داكنة
من بين ما يلي، سيطور معظم الأطفال أي مهارة أولاً؟,التصفيق بأيديهم
معدل الإصابة بالفصام بين فئةٍ مجتمعية أقرب إلى,1 في 100.
بشكلٍ عام، أفضل وقت عرض بين التحفيز المشروط والتحفيز غير المشروط لإنتاج التكيف الكلاسيكي هو,المتأخر
يعاني رايان من إثارةٍ مستمرة ومنخفضة المستوى تقريباً لجهازه العصبي اللاإرادي. من المرجح أن يتم تصنيف رايان على أنه يعاني من,اضطراب القلق المعمم GAD.
عادةً ما يُنتج طاهي المعجنات 15 قطعةً من فطيرة تفاح في 15 دقيقة، ولكن عندما يراقبه طلاب فنون الطهي، يُنتج 20 قطعةً من فطيرة التفاح في 15 دقيقة. يمثّل ذلك,التسهيل الاجتماعي
رؤية أحدٍ ما في طابورٍ في محل البقالة وتذكر اسمه أو اسمها هو مثالٌ على أي نوعٍ من أنواع الاسترجاع؟,الاستذكار
تراقب ليزيت برفقة عائلتها غروب الشمس فوق المحيط. أثناء عودتها إلى المنزل مع تزايد حلول الظلام، لاحظت ليزيت أنها لم تعد قادرةً على تمييز ألوان الأشياء. أي مما يلي يفسر بأفضل شكل سبب عدم قدرة ليزيت على رؤية اللون في الضوء الخافت؟,تتطلب الخلايا المخروطية المسؤولة عن رؤية الألوان كميةً أكبر من الضوء لتنشيطها، بينما تسمح الأعصاب الوتدية التي تولد الصور بألوان الأسود والأبيض والرمادي، بالرؤية في الإضاءة الخافتة.
بعد إرسال ملصقٍ يوضع على النافذة وبطاقات تهنئة تحمل شعارها، أرسلت منظمةٌ خيرية لنفس الأشخاص مظاريف تطلب تبرعات. أرسل العديد من الناس تبرعات. تستخدم المنظمة الخيرية تقنيةً تعرف باسم,"ما يُعرف بظاهرة ""القدم في الباب"""
تعمل معلمة بيانو على مساعدة طالب على تعلُّم مقطوعةٍ جديدة. في البداية، تشيد بالطالب لعزفه النوتات الصحيحة. بعد أن يبدأ الطالب في إظهار إتقان النوتات، تشيد المعلمة بالطالب فقط عندما يضيف الديناميكية والتفسير المناسبين إلى الأجزاء التي يعزفها. تعد طريقة التدريس التي تتبعها المعلمة مثالاً على أي نوعٍ من تقنيات التدريب التالية؟,التكوين
وفقاً لنظرية جِشطالت للإدراك، فإن القدرة على تحديد شكلٍ ثلاثي الأضلاع على أنه مثلث، حتى لو كان محجوباً جزئياً عن الرؤية، يعد مثالاً على,الإغلاق
أي مما يلي سيحتاج الباحث إلى استخدامه لتحديد ما إذا كان الفرق بين متوسط درجات المجموعتين التجريبية والضابطة ذا دلالةٍ إحصائية؟,الإحصاءات الاستدلالية
ما الذي يجعل منظور التحليل النفسي مختلفاً عن وجهات النظر النفسية الأخرى؟,يركز المحللون النفسيون على العقل اللاواعي.
يقوم سائق السيارة التي توقفت بجانبك عند إشارة المرور الحمراء برفع مستوى صوت الراديو. الزيادة التي تلاحظها في الصوت ترجع بشكلٍ أساسي إلى,زيادة عدد العصبونات التي تطلق إشاراتٍ بشكل أكثر تواتراً
إلى ماذا يفتقر اختبارٌ شاملٌ في علم النفس المتقدم المُكوَّن فقط من أسئلة حول وحدات التحفيز والعاطفة وعلم النفس الاجتماعي والأساس البيولوجي للسلوك؟,صلاحيته الخاصة بالمحتوى
يحدث الحيض قرابة سن,12 عند الإناث فقط
بناءً على أي أسسٍ أخلاقية انتُقدت دراسة طاعة ميلغرام؟,خطر التعرض للأذى النفسي
أي معامل يشير إلى الارتباط الأقوى؟,-1.0
أي جزءٍ من الدماغ هو الأحدث بالمعنى التطوري؟,القشرة الدماغية
لماذا قد يستخدم باحث نسبةً متغيرة من التعزيز بدلاً من نسبةٍ ثابتة؟,جداول التعزيز ذات النسبة المتغيرة أكثر مقاومةً للإخماد من الجداول الثابتة.
من المرجح أن يؤثر الدواء الذي يصفه الطبيب النفسي لاضطراب الاكتئاب الشديد على توازن أي من الناقلات العصبية التالية؟,السيروتونين
في زمننا اليوم، من غير المرجح أن يقوم طبيبٌ نفسي بتهيئة طفلٍ للخوف من جرذٍ وحيواناتٍ صغيرة أخرى في دراسةٍ بحثية في إحدى الجامعات لأن,الدراسة تنتهك المبادئ التوجيهية الأخلاقية
وفقًا لكارل يونج، فإن مفهوم مخزن الأفكار والمشاعر والرموز التي يتشاركها جميع البشر والتي تنتقل بالوراثة من جيل إلى آخر يُعرف باسم نظرية كارل يونج لـ,اللاوعي الجمعي
أي مما يلي غالباً ما يكون صحيحاً بالنسبة لاسترجاع الذاكرة؟,من المرجح أن يتذكر الناس معلوماتٍ تتوافق مع مخططاتهم السابقة.
أي من أنواع العلاجات التالية سيستخدمها على الأرجح معالجٌ جسدي؟,العلاج الكيميائي
أي نظريتان متنافستان تشرحان آثار التنويم المغناطيسي؟,نظرية الدور ونظرية التفكك
من المزايا الرئيسية لتقييم المعايير القياسية مقارنةً بالتقييم القائم على المناهج الدراسية أن اختبارات المعايير القياسية,توفر قدرةً أكبر على تقييم الطلاب من حيث المجموعات الكبيرة من أقرانهم في المستوى الدراسي
يرتبط الجوع والعطش والجنس ارتباطاً وثيقاً بتحفيز,الهايبوثالامس
ردّاً على مقالٍ نُشر في الصحف في جميع أنحاء الولايات المتحدة، تلقت كاتبة عمود المشورة أكثر من 28000 رداً. وقال أكثر من 75% من أصحاب الردود أنهم لو أتيحت لهم الفرصة مجدداً، لما أنجبوا أطفالاً. تستنتج كاتبة العمود أن معظم الآباء والأمهات يأسفون لإنجابهم أطفال. لأي من الأسباب التالية استنتاجها غير صالح؟,ربما لم تكن عينتها ممثلة للفئة المجتمعية.
تم استخدام التنويم المغناطيسي بشكلٍ فعال للتقليل من,الألم المزمن
في كل مرة تشتري فيها آيس كريم من متجر Yellow Brick Road، تُختم بطاقة قوس قزح الخاصة بك. بمجرد شراء عشرة أصناف، تحصل على الصنف التالي مجاناً. أي من جداول التعزيز التالية يطبقه عليك محل Yellow Brick Road للآيس كريم؟,النسبة الثابتة
ابتلّت دونيا نظراً لتعرضها لزخةٍ مطريةٍ غير متوقعة أثناء سيرها إلى سيارتها من المكتب. إن حقيقة أنها لم تدرك أن الجريدة التي كانت تحملها ستكون مظلةً مؤقتة رائعة هي مثالٌ على,الثبات الوظيفي
ما هي الإجراءات الإحصائية التالية التي تتألف من الجمع المنتظم للبيانات المستمدة من دراساتٍ متعددة تركز على نفس السؤال وتستخدم متغيراتٍ مماثلة؟,تحليل تمايزي
يراقبك ابن عمك الصغير وأنت تستخدم الكمبيوتر، وعندما تنهض من مكانك، يحاول على الفور استخدام لوحة المفاتيح. يمكن تفسير سلوكه في هذا الموقف بشكلٍ أفضل على أساس,النمذجة
أي مما يلي هو الأقل احتمالية للمساهمة في التحيز؟,الأهداف الفائقة
التضارب في المواقف أو السلوكيات التي تخلق توتراً في ذهن الشخص يُشار إليها بمصطلح,التنافر المعرفي
تضع مجموعةٌ بيئية غير ربحية هديةً مجانية، عبارة عن ملصقات عناوين في رسالةٍ تطلب فيها تبرعات. أي مبدأ من مبادئ علم النفس الاجتماعي تحاول المجموعة البيئية غير الربحية استخدامه لزيادة التبرعات؟,استراتيجية امتثال
يخوض ستيفن طلاقه الثاني. ويعتقد أنه ما من امرأةٍ ستقع في حبه مجدداً. يشير معالجه إلى أن تفكير ستيفن غير عقلاني وخاطئ. أي من العلاجات التالية يوظفها المعالج؟,العاطفي العقلاني
أفضل طريقة للتخلص من الاستجابة المشروطة كلاسيكياً تكون من خلال تقديم,التحفيز المشروط بدون التحفيز غير المشروط
يتطابق تركيز البنيويّين بشكلٍ وثيق مع المنظور الحالي لـ,الإدراكيين
عندما ينظر كورتيس إلى صورةٍ لنجمةٍ صفراء لمدة دقيقةٍ كاملة، ثم ينقل نظره إلى ورقةٍ بيضاء فارغة، فمن المرجح أن يرى صورةً لاحقة لونها,الأزرق
"في أفلام الكرتون، نجد ملاكاً على كتفٍ وشيطاناً على الكتف الآخر لشخصيةٍ بحاجةٍ إلى اتخاذ قرار ما إذا كانت ستعطي المال لرجلٍ متشرد أم لا. يقول الشيطان: ""لا تعطه أي شيء، ستستفيد أنت من المال أكثر منه."" ويقول الملاك: ""أعطه المال لأنه بحاجةٍ إليه أكثر منك."" تعطي الشخصية نصف مالها للرجل المتشرد. في التفسير الفرويدي، يمثل الملاك",الأنا العليا
